pt_nome,pt_enderec,longitude,latitude
"AV. LUÍS DUMONT VILARES , 1721",INGLESA/ R TOME PORTES,-46.609421894515506,-23.48729574033437
"AV. MARIA LUIZA AMERICANO , 1741",MORUBIXABA/ VEL QUATORZE,-46.47497278151185,-23.567360278230623
"R. WILLIAM SPEERS , 674",TENENTE LANDY/ R ALVES BRANCO,-46.701404868354786,-23.518667677909736
"AV. ANTÔNIO ESTEVÃO DE CARVALHO , 3438",PRAÇA GUAJARÁ - MIRIM,-46.496424936791975,-23.539645133786784
"AV. STO. AMARO , 1481",NATIVIDADE/ R DAS FIANDEIRAS,-46.673916192847756,-23.5971808401476
"R. BICUDO DE BRITO , 631",INAJATUBA/ R GENERAL GASTAO GOULART,-46.63435900030946,-23.64138797383238
"AL. BR. DE LIMEIRA , 266",AV DUQUE DE CAXIAS/ R GENERAL OSORIO,-46.64467650329478,-23.538462779014953
"R. JORN. JOSÉ LEITE PINTO , 350",,-46.76624501612648,-23.630879183399053
"AV. JACU-PÊSSEGO/NOVA TRABALHADORES , 35",AGRIMENSOR SUGAYA/ R TOME ALVARES DE CASTRO,-46.44562948903877,-23.557756395413215
"TERM. METRÔ ITAQUERA PL. D , 0","Avenida Dr. Luís Aires, s/n°",-46.47094270338561,-23.542749253702866
"AV. LUIZ CARLOS GENTILE DE LAET , 2500",EST DO GUARAU,-46.62786893199053,-23.446591507114817
"TERM. METRÔ ITAQUERA PL. E , 0",,-46.47008569525197,-23.542685257452955
"R. CAIAPÉ , 189",CARLOS MARIA MONTEIRO/ R BARREIRO,-46.68404649265004,-23.47053447383902
"AV. PE. ARLINDO VIEIRA , 1800",SAO ALFEU/ R NAGIB TANUS GASTIN,-46.60674559298639,-23.636188028380772
"R. VERGUEIRO , 7385",LINO GUEDES/ R JEREMIAS JUNIOR,-46.611784521243784,-23.60913397249465
"R. MÁRIO LINHARES , 729",CHINIGUA/ R PROFESSOR LUIS MAGALHAES DE ARAUJO,-46.74665690252979,-23.63292813215168
"R. TITO LESSI , 18",TOLEDO BASSI/ R ANTONIO QUINTILIANO,-46.58375753115386,-23.439676625121933
"R. MAL. BARBACENA , 474",DANTE PELLACANI/ R BENTO GONCALVES,-46.57474382792397,-23.55499696816101
"R. DOS CONTINENTES , 284",MARCIANO CAPELLA/ AV ANTONIO DIOGO,-46.488543853224975,-23.533856159323182
"AV. CARLOS ALBERTO BASTOS MACHADO , 52",MANUEL CANALES/ R CAETANO BENI,-46.69194706087722,-23.775551259734996
"AV. CARLOS BARBOSA DOS SANTOS (ESTR. BARRO BRANCO) , 963",UA PROF.  AURÉLIO ARROBA MARTINS,-46.67293178624625,-23.76254117633209
"TERM. METRÔ CARRÃO (LADO NORTE) , 0",,-46.5637926394764,-23.537038963573426
"AV. IPIRANGA , 102",DA CONSOLACAO/ R EPITACIO PESSOA,-46.6458055688446,-23.54703379091118
"R. TEBICUARI , 765",CORDILHEIRAS/ R PASSO DA PATRIA,-46.72532111260032,-23.52830070081306
"LAT. DA PONTE DO MORUMBI , 0",,-46.69922950545439,-23.618639947246475
"ESTR. DA BARRAGEM , 817",UA APARECIDA,-46.69448517307677,-23.854573373817374
