nomesc,latitude,longitude
ALECRIM,-23.595442,-46.754766
MAPLE BEAR CANADIAN SCHOOL MORUMBI PAINEIRAS,-23.608608,-46.71229
NOSSO LAR II,-23.595993,-46.792319
MAPLE BEAR PARQUE DOS PRINCIPES,-23.574091,-46.773868
ALEGRIA DO SABER II,-23.602954,-46.728583
PRO REI VI - PARAISOPOLIS,-23.610774,-46.724545
"BEE KIDS, ESCOLA",-23.583699,-46.685348
MEU CASTELINHO II - E.S.P.,-23.563717,-46.693128
"MEU CASTELINHO, E.E.I.",-23.579445,-46.672585
COLEGIO ITATIAIA,-23.611785,-46.737078
"JOSE GASPAR, D.",-23.600879,-46.726222
PIXINGUINHA,-23.58913,-46.770131
"ALOYSIO DE MENEZES GREENHALGH, VER.",-23.557659,-46.759414
"ANTONIO JOAO ABDALLA, DR.",-23.592218,-46.783406
"BENEDICTO ROCHA, VER.",-23.593573,-46.758742
COHAB RAPOSO TAVARES,-23.586508,-46.800644
JARDIM JULIETA,-23.572339,-46.747706
"JOSE OZI, PROF.",-23.572116,-46.751357
ROBERTO ARANTES LANHOSO,-23.583074,-46.792158
SALVADOR LO TURCO,-23.57572,-46.775386
SAO JORGE ARPOADOR,-23.595178,-46.790114
YVONE LEMOS DE ALMEIDA FRAGA,-23.575972,-46.752669
YVONE MALUHY JOSEPF SABGA,-23.582423,-46.757516
CIDADE DE GENEBRA,-23.585119,-46.804457
JARDIM DAS VERTENTES,-23.590983,-46.744225
RIO PEQUENO II,-23.57741,-46.765616
PINHEIROS,-23.568473,-46.685479
MAE DO SALVADOR,-23.555199,-46.700402
MARIA DE LOURDES FERRARINI,-23.541682,-46.706247
NOSSA SENHORA ASSUNCAO,-23.573791,-46.744834
SANTA TEREZA DE JESUS,-23.58721,-46.685079
LAR DO ALVORECER CRISTAO,-23.5486,-46.691556
NOITE ENCANTADA VII,-23.602026,-46.791263
"JOAO XXIII, PAPA",-23.588121,-46.77932
COHAB EDUCANDARIO,-23.603026,-46.780426
RECANTO DA ALEGRIA III,-23.563905,-46.764994
SAO LUIS GONZAGA,-23.577278,-46.758458
NOSSA SENHORA DE FATIMA,-23.601047,-46.745109
BUTANTA,-23.5824,-46.750786
JARDIM JAQUELINE,-23.588504,-46.749574
JARDIM ARPOADOR,-23.596616,-46.787098
SANTA ROSA III,-23.597057,-46.775849
UIRAPURU,-23.600301,-46.78911
JARDIM EDITE,-23.61295,-46.695209
SAO BENEDITO,-23.587932,-46.722389
"TERESA DE CALCUTA, MADRE",-23.59812,-46.736658
CHACARA DO JOCKEY,-23.59747,-46.746848
CENTRO SOCIAL SANTO DIAS UNID I BT,-23.566253,-46.74749
LIGA DAS SENHORAS CATOLICAS DE SAO PAULO ,-23.598217,-46.781338
ASSOCIACAO METODISTA LIVRE AGENTE - UNID I,-23.562478,-46.744643
"CETEAC-CENTRO DE ESTUDOS E TRABALHOS EM EDUC, ARTE E CULTURA",-23.608741,-46.705348
"WILMA ALVARENGA DE OLIVEIRA, PROFA.",-23.665048,-46.777627
"VERA LUCIA FUSCO BORBA, PROFA.",-23.62488,-46.767503
"ANTONIO ALVES DA SILVA, SG.",-23.683548,-46.789733
TERESA MARGARIDA DA SILVA E ORTA,-23.722201,-46.757039
"ORLANDO DE ALVARENGA GAUDIO, PROF.",-23.715175,-46.779841
MARIA RITA LOPES PONTES - IRMA DULCE,-23.667435,-46.793313
MAURO FACCIO GONCALVES - ZACARIA,-23.667809,-46.748594
"LORENCO MANOEL SPARAPAN, PROF.",-23.657215,-46.753477
"CYRO ALBUQUERQUE, DEP.",-23.650969,-46.757719
"CLARICE BENVINDA SANTOS SILVA, PROFA",-23.678258,-46.756379
RUBENS NASCIMENTO DA SILVA - MEXICANO,-23.67372,-46.796498
PAULO ZINGG,-23.669629,-46.781085
JOSE OLYMPIO PEREIRA FILHO,-23.671534,-46.784171
"SALOMAO JORGE, DEP.",-23.686775,-46.749345
ANNA SILVEIRA PEDREIRA,-23.665114,-46.746992
CONJ. HABITACIONAL VALO VELHO,-23.678795,-46.794484
"PAULO FREIRE, PROF.",-23.616863,-46.723111
CHACARA SONHO AZUL,-23.735726,-46.790275
"JOANA MITSUE ISHII, PROFA",-23.750816,-46.776758
MARIA CLARA MACHADO,-23.721346,-46.756427
MITSUTANI,-23.647515,-46.789957
"VEREMUNDO TOTH, DOM",-23.622482,-46.728606
"MAURO BAPTISTA, PE.",-23.632043,-46.741353
TEREZINHA MOTA DE FIGUEIREDO,-23.680331,-46.794954
GEORGE SAVALLA GOMES - CAREQUINHA,-23.658005,-46.781644
"MARIA RITA DE CASSIA PINHEIRO SIMOES BRAGA, PROFA.",-23.659108,-46.783317
FRANCISCO REBOLO,-23.632419,-46.741162
"JOSE BLOTA JUNIOR, DEP.",-23.75048,-46.776771
CASA BLANCA,-23.646711,-46.744385
CASA BLANCA,-23.646711,-46.744385
"LUIZA HELENA FERREIRA, PROFA",-23.636846,-46.779455
HERMES FERREIRA DE SOUZA,-23.636846,-46.77945
JARDIM NOVO SANTO AMARO - ALICE ALVES MARTINS,-23.666447,-46.735818
FEITICO DA VILA,-23.685887,-46.793056
FEITICO DA VILA,-23.685887,-46.793056
ROBERTO BURLE MARX,-23.622513,-46.72504
GIANFRANCESCO GUARNIERI,-23.660796,-46.760585
GUARAPIRANGA,-23.697715,-46.765063
CANTOS DO AMANHECER,-23.649231,-46.785738
VILA DO SOL,-23.735348,-46.780321
MARIO FITTIPALDI,-23.697715,-46.765063
CANTOS DO AMANHECER,-23.649225,-46.785738
VILA DO SOL,-23.735348,-46.780321
"JARDIM MITSUTANI I - PAULO PATARRA, JORNALISTA",-23.647936,-46.789716
CHACARA SONHO AZUL,-23.730277,-46.792381
"LOREANE LALLO, PROFA",-23.67447,-46.770986
PARAISOPOLIS,-23.622254,-46.727379
JOSE SARAMAGO,-23.67447,-46.770986
PARAISOPOLIS,-23.622254,-46.727379
"JOSE FRANCISCO CAVALCANTE, PROF",-23.679289,-46.792244
M BOI MIRIM I,-23.665924,-46.743046
M BOI MIRIM II,-23.662663,-46.748763
MARLI FERRAZ TORRES BONFIM,-23.680178,-46.766983
SOCRATES BRASILEIRO SAMPAIO DE SOUSA VIEIRA DE OLIVEIRA,-23.630902,-46.759264
CAMPO LIMPO III -LUISA ROSARIA DE OLIVEIRA DIAS,-23.677093,-46.7941
"MILLOR FERNANDES, JORNALISTA",-23.637946,-46.749814
PARQUE DO LAGO,-23.710892,-46.774655
CAMPO LIMPO II,-23.677672,-46.786737
PERIMETRAL,-23.619631,-46.723326
CAMPO LIMPO VI,-23.633204,-46.76221
"EDIVALDO DOS SANTOS DANTAS, PROF.",-23.725784,-46.76076
CAPAO REDONDO ,-23.673572,-46.773489
VILA CALU I,-23.738473,-46.79364
PARQUE SANTO ANTONIO I,-23.666243,-46.748409
LAZARA VEIGA CATELLANI,-23.725784,-46.76076
JARDIM KAGOHARA I,-23.689836,-46.760761
"ROSILDA SILVIO SOUZA, PROFA",-23.707956,-46.792154
HERBERT DE SOUZA - BETINHO,-23.689258,-46.79242
PARQUE FIGUEIRA GRANDE I - ANDRE LUIZ JANUARIO,-23.680475,-46.746714
JARDIM ANGELA,-23.691575,-46.775663
PARQUE BOLOGNE,-23.703217,-46.773223
PIRAJUSSARA,-23.642439,-46.782226
PERIMETRAL I,-23.620785,-46.724068
ANDORINHA DOS BEIRAIS,-23.675168,-46.795901
CHACARA SANTA MARIA,-23.686898,-46.799517
DONATO SUSUMU KIMURA,-23.676898,-46.770598
VILA DO SOL I,-23.737238,-46.778785
CASA BLANCA I,-23.650075,-46.741925
IRAPARA,-23.622037,-46.724527
ANDAGUACU,-23.631367,-46.768233
JARDIM DOM JOSE I,-23.682825,-46.795565
CARMELO CALI,-23.691167,-46.765913
JARDIM DAS PALMAS,-23.616706,-46.753967
MORUMBI,-23.621523,-46.72931
"MARIA BERENICE DOS SANTOS, PROFA.",-23.673652,-46.738559
"THEODOMIRO MONTEIRO DO AMARAL, PROF.",-23.67795,-46.79769
FRANCISCA JULIA DA SILVA,-23.689416,-46.764563
"ASTROGILDA DE ABREU SEVILHA, PROFA",-23.697842,-46.773205
ANISIO TEIXEIRA,-23.673501,-46.773386
LUIZ DA CAMARA CASCUDO,-23.650612,-46.774397
"MARIO ARY PIRES, MAL.",-23.666365,-46.762446
MARIO SETTE,-23.655045,-46.755104
JOAQUIM MANUEL DE MACEDO,-23.653582,-46.742745
CATULO DA PAIXAO CEARENSE,-23.639483,-46.761266
ASSIS CHATEAUBRIAND,-23.619285,-46.754634
"ALAIDE BUENO RODRIGUES, PROFA.",-23.631653,-46.76489
BARBARA HELIODORA GUILHERMINA DA SILVEIRA,-23.68861,-46.771336
"JULITTA PRADO ALVES DE LIMA, DA.",-23.660261,-46.739059
"ROSEMARY SILVA, PROFA",-23.66016,-46.729746
CAMPO LIMPO,-23.633504,-46.774235
CLARICE LISPECTOR,-23.667278,-46.747099
JANETE CLAIR,-23.685505,-46.763154
DOLORES DURAN,-23.661102,-46.785382
ANGENOR DE OLIVEIRA - CARTOLA,-23.69239,-46.785792
"GUIOMAR PICCINALI, PROFA.",-23.646151,-46.770473
CARLOS DE LAET,-23.639104,-46.750192
"MARIO MOURA E ALBUQUERQUE, BEL.",-23.671472,-46.747273
"CAROLINA RENNO RIBEIRO DE OLIVEIRA, PROFA.",-23.684028,-46.756357
OLIVEIRA VIANA,-23.686526,-46.763578
"MARIO MARQUES DE OLIVEIRA, PROF.",-23.689021,-46.771534
"CLEMENTE PASTORE, PROF.",-23.697736,-46.772256
ANTONIO ESTANISLAU DO AMARAL,-23.699426,-46.783175
"MARIO RANGEL, CEL.",-23.673774,-46.77318
"JORGE AMERICANO, PROF.",-23.68699,-46.799837
EUCLIDES DA CUNHA,-23.671517,-46.779466
"IRACEMA MARQUES DA SILVEIRA, PROFA.",-23.661102,-46.785921
"LEVY DE AZEVEDO SODRE, PROF.",-23.650211,-46.774099
OTONIEL MOTA,-23.659536,-46.755091
PROCOPIO FERREIRA,-23.655614,-46.747495
"AIRTON ARANTES RIBEIRO, PROF.",-23.658666,-46.746098
"LUIZ TENORIO DE BRITO, CEL.",-23.646657,-46.751277
"ADHEMAR DE BARROS, PREF.",-23.638568,-46.76073
"PALIMERCIO DE REZENDE, CEL.",-23.635162,-46.762577
MAURICIO SIMAO,-23.630001,-46.768827
LEONARDO VILLAS BOAS,-23.633285,-46.773707
"SYNESIO ROCHA, MIN.",-23.619809,-46.754241
ZULMIRA CAVALHEIRO FAUSTINO,-23.635072,-46.753931
"PAULO COLOMBO PEREIRA DE QUEIROZ, DES.",-23.640681,-46.750106
"DE GAULLE, GEN.",-23.658243,-46.73103
FAGUNDES VARELLA,-23.642796,-46.787516
"ZULEIKA PEREIRA LEITE, PROFA.",-23.640121,-46.785819
ARACY DE ALMEIDA,-23.675585,-46.783309
DINAH SILVEIRA DE QUEIROZ,-23.676743,-46.741905
DEZOITO DO FORTE,-23.686396,-46.757777
PRACINHAS DA FEB,-23.674849,-46.738367
"JOAO PEDRO DE CARVALHO NETO, DR.",-23.67796,-46.771403
MODESTO SCAGLIUSI,-23.647212,-46.761901
"NORIMAR TEIXEIRA, PROFA.",-23.689692,-46.740349
22 DE MARCO,-23.636282,-46.749913
"RICARDO VITIELLO, PROF.",-23.667883,-46.776431
CENTRO INT ED JOVENS E ADULTOS - CAMPO LIMPO,-23.658337,-46.763505
